,Atributo,label da classe predita pelo modelo em INFERÊNCIA,índice da classe predita pelo modelo em modo de INFERÊNCIA,predição do modelo em TREINAMENTO para a classe predita pelo modelo em INFERÊNCIA,label da classe predita pelo modelo em TREINAMENTO,model
220,eye_color,blue,2,0.98351717,blue,mac_hybrid_200_2048_1e-05
221,monk_scale,scale 4,4,0.43704948,scale 2,mac_hybrid_200_2048_1e-05
222,fitz_type,type i,0,0.89526016,type i,mac_hybrid_200_2048_1e-05
223,male,0,0,0.99904925,0,mac_hybrid_200_2048_1e-05
224,age,adult,0,0.89506555,adult,mac_hybrid_200_2048_1e-05
225,hair_type,wavy,3,0.9785856,wavy,mac_hybrid_200_2048_1e-05
226,hair_color,brunette,3,0.95894945,brunette,mac_hybrid_200_2048_1e-05
227,eye_color,blue,2,0.56947637,blue,mac_hybrid_200_2048_1e-05
228,monk_scale,scale 4,4,0.8413252,scale 4,mac_hybrid_200_2048_1e-05
229,fitz_type,type i,0,0.99921846,type i,mac_hybrid_200_2048_1e-05
230,male,0,0,0.99999297,0,mac_hybrid_200_2048_1e-05
231,age,adult,0,0.09605137,young adult,mac_hybrid_200_2048_1e-05
232,hair_type,wavy,3,0.9948462,wavy,mac_hybrid_200_2048_1e-05
233,hair_color,brunette,3,0.95000535,brunette,mac_hybrid_200_2048_1e-05
234,eye_color,blue,2,0.22867785,hazel,mac_hybrid_200_2048_1e-05
235,monk_scale,scale 4,4,0.91141963,scale 4,mac_hybrid_200_2048_1e-05
236,fitz_type,type i,0,0.98480785,type i,mac_hybrid_200_2048_1e-05
237,male,0,0,0.99998105,0,mac_hybrid_200_2048_1e-05
238,age,adult,0,0.37685788,young adult,mac_hybrid_200_2048_1e-05
239,hair_type,wavy,3,0.7457753,wavy,mac_hybrid_200_2048_1e-05
240,hair_color,brunette,3,0.9121007,brunette,mac_hybrid_200_2048_1e-05
241,eye_color,blue,2,0.039840188,brown,mac_hybrid_200_2048_1e-05
242,monk_scale,scale 4,4,0.85607946,scale 4,mac_hybrid_200_2048_1e-05
243,fitz_type,type i,0,0.57366204,type i,mac_hybrid_200_2048_1e-05
244,male,0,0,0.99979955,0,mac_hybrid_200_2048_1e-05
245,age,adult,0,0.9787805,adult,mac_hybrid_200_2048_1e-05
246,hair_type,wavy,3,0.9384149,wavy,mac_hybrid_200_2048_1e-05
247,hair_color,brunette,3,0.999585,brunette,mac_hybrid_200_2048_1e-05
248,eye_color,blue,2,0.69550127,blue,mac_hybrid_200_2048_1e-05
249,monk_scale,scale 4,4,0.059936162,scale 2,mac_hybrid_200_2048_1e-05
250,fitz_type,type i,0,0.9981001,type i,mac_hybrid_200_2048_1e-05
251,male,0,0,0.999966,0,mac_hybrid_200_2048_1e-05
252,age,adult,0,0.1545813,young adult,mac_hybrid_200_2048_1e-05
253,hair_type,wavy,3,0.4182283,straight,mac_hybrid_200_2048_1e-05
254,hair_color,brunette,3,0.44872442,brunette,mac_hybrid_200_2048_1e-05
255,eye_color,blue,2,0.69001836,blue,mac_hybrid_200_2048_1e-05
256,monk_scale,scale 4,4,0.05617946,scale 2,mac_hybrid_200_2048_1e-05
257,fitz_type,type i,0,0.9734214,type i,mac_hybrid_200_2048_1e-05
258,male,0,0,0.9999933,0,mac_hybrid_200_2048_1e-05
259,age,adult,0,0.015291874,young adult,mac_hybrid_200_2048_1e-05
260,hair_type,wavy,3,0.94476646,wavy,mac_hybrid_200_2048_1e-05
261,hair_color,brunette,3,0.9877438,brunette,mac_hybrid_200_2048_1e-05
262,eye_color,blue,2,0.22000526,brown,mac_hybrid_200_2048_1e-05
263,monk_scale,scale 4,4,0.3616121,scale 2,mac_hybrid_200_2048_1e-05
264,fitz_type,type i,0,0.9941397,type i,mac_hybrid_200_2048_1e-05
265,male,0,0,0.99995565,0,mac_hybrid_200_2048_1e-05
266,age,adult,0,0.76699,adult,mac_hybrid_200_2048_1e-05
267,hair_type,wavy,3,0.9975682,wavy,mac_hybrid_200_2048_1e-05
268,hair_color,brunette,3,0.9985007,brunette,mac_hybrid_200_2048_1e-05
269,eye_color,blue,2,0.05887932,brown,mac_hybrid_200_2048_1e-05
270,monk_scale,scale 4,4,0.051324025,scale 2,mac_hybrid_200_2048_1e-05
271,fitz_type,type i,0,0.706847,type i,mac_hybrid_200_2048_1e-05
272,male,0,0,0.9993443,0,mac_hybrid_200_2048_1e-05
273,age,adult,0,0.7785651,adult,mac_hybrid_200_2048_1e-05
274,hair_type,wavy,3,0.27609542,straight,mac_hybrid_200_2048_1e-05
275,hair_color,brunette,3,0.9159472,brunette,mac_hybrid_200_2048_1e-05
276,eye_color,blue,2,0.0067462795,brown,mac_hybrid_200_2048_1e-05
277,monk_scale,scale 4,4,0.5894389,scale 4,mac_hybrid_200_2048_1e-05
278,fitz_type,type i,0,0.9454565,type i,mac_hybrid_200_2048_1e-05
279,male,0,0,0.9999491,0,mac_hybrid_200_2048_1e-05
280,age,adult,0,0.9443887,adult,mac_hybrid_200_2048_1e-05
281,hair_type,wavy,3,0.73785555,wavy,mac_hybrid_200_2048_1e-05
282,hair_color,brunette,3,0.907702,brunette,mac_hybrid_200_2048_1e-05
283,eye_color,blue,2,0.23796168,brown,mac_hybrid_200_2048_1e-05
284,monk_scale,scale 4,4,0.53343153,scale 4,mac_hybrid_200_2048_1e-05
285,fitz_type,type i,0,0.9917762,type i,mac_hybrid_200_2048_1e-05
286,male,0,0,0.9999943,0,mac_hybrid_200_2048_1e-05
287,age,adult,0,0.7453945,adult,mac_hybrid_200_2048_1e-05
288,hair_type,wavy,3,0.8789359,wavy,mac_hybrid_200_2048_1e-05
289,hair_color,brunette,3,0.30551997,gray,mac_hybrid_200_2048_1e-05
290,eye_color,blue,2,0.05476093,hazel,mac_hybrid_200_2048_1e-05
291,monk_scale,scale 4,4,0.19420512,scale 2,mac_hybrid_200_2048_1e-05
292,fitz_type,type i,0,0.97866017,type i,mac_hybrid_200_2048_1e-05
293,male,0,0,0.99999917,0,mac_hybrid_200_2048_1e-05
294,age,adult,0,0.701689,adult,mac_hybrid_200_2048_1e-05
295,hair_type,wavy,3,0.9337192,wavy,mac_hybrid_200_2048_1e-05
296,hair_color,brunette,3,0.99681854,brunette,mac_hybrid_200_2048_1e-05
297,eye_color,blue,2,0.047991678,brown,mac_hybrid_200_2048_1e-05
298,monk_scale,scale 4,4,0.83608997,scale 4,mac_hybrid_200_2048_1e-05
299,fitz_type,type i,0,0.9029019,type i,mac_hybrid_200_2048_1e-05
300,male,0,0,0.99970347,0,mac_hybrid_200_2048_1e-05
301,age,adult,0,0.930222,adult,mac_hybrid_200_2048_1e-05
302,hair_type,wavy,3,0.95646286,wavy,mac_hybrid_200_2048_1e-05
303,hair_color,brunette,3,0.99869114,brunette,mac_hybrid_200_2048_1e-05
304,eye_color,blue,2,0.2825414,brown,mac_hybrid_200_2048_1e-05
305,monk_scale,scale 4,4,0.5637801,scale 4,mac_hybrid_200_2048_1e-05
306,fitz_type,type i,0,0.7113606,type i,mac_hybrid_200_2048_1e-05
307,male,0,0,0.99999654,0,mac_hybrid_200_2048_1e-05
308,age,adult,0,0.7723412,adult,mac_hybrid_200_2048_1e-05
309,hair_type,wavy,3,0.89905214,wavy,mac_hybrid_200_2048_1e-05
310,hair_color,brunette,3,0.9930293,brunette,mac_hybrid_200_2048_1e-05
