,Atributo,label da classe predita pelo modelo em INFERÊNCIA,índice da classe predita pelo modelo em modo de INFERÊNCIA,predição do modelo em TREINAMENTO para a classe predita pelo modelo em INFERÊNCIA,label da classe predita pelo modelo em TREINAMENTO,model
665,age,adult,0,0.041571926325559616,young adult,mac_hybrid_200_2048_1e-05
666,hair_type,straight,2,0.9894214868545532,straight,mac_hybrid_200_2048_1e-05
667,hair_color,black,0,0.9999358654022217,black,mac_hybrid_200_2048_1e-05
668,eye_color,black,1,0.984410285949707,black,mac_hybrid_200_2048_1e-05
669,monk_scale,scale 9,9,0.7821652889251709,scale 9,mac_hybrid_200_2048_1e-05
670,fitz_type,type vi,5,0.8933173418045044,type vi,mac_hybrid_200_2048_1e-05
671,male,1,1,0.9999722,0,mac_hybrid_200_2048_1e-05
672,age,adult,0,0.996740996837616,adult,mac_hybrid_200_2048_1e-05
673,hair_type,straight,2,0.9809622168540955,straight,mac_hybrid_200_2048_1e-05
674,hair_color,black,0,0.999281108379364,black,mac_hybrid_200_2048_1e-05
675,eye_color,black,1,0.9997536540031433,black,mac_hybrid_200_2048_1e-05
676,monk_scale,scale 9,9,0.20085254311561584,scale 8,mac_hybrid_200_2048_1e-05
677,fitz_type,type vi,5,0.9963046312332153,type vi,mac_hybrid_200_2048_1e-05
678,male,1,1,0.9999833,0,mac_hybrid_200_2048_1e-05
679,age,adult,0,0.6612726449966431,adult,mac_hybrid_200_2048_1e-05
680,hair_type,straight,2,0.9304491877555847,straight,mac_hybrid_200_2048_1e-05
681,hair_color,black,0,0.9999505281448364,black,mac_hybrid_200_2048_1e-05
682,eye_color,black,1,0.9930175542831421,black,mac_hybrid_200_2048_1e-05
683,monk_scale,scale 9,9,0.726942777633667,scale 9,mac_hybrid_200_2048_1e-05
684,fitz_type,type vi,5,0.9662392735481262,type vi,mac_hybrid_200_2048_1e-05
685,male,1,1,0.999997,0,mac_hybrid_200_2048_1e-05
686,age,adult,0,0.858967661857605,adult,mac_hybrid_200_2048_1e-05
687,hair_type,straight,2,0.9728356599807739,straight,mac_hybrid_200_2048_1e-05
688,hair_color,black,0,0.9999758005142212,black,mac_hybrid_200_2048_1e-05
689,eye_color,black,1,0.9973199963569641,black,mac_hybrid_200_2048_1e-05
