,Atributo,label da classe predita pelo modelo em INFERÊNCIA,índice da classe predita pelo modelo em modo de INFERÊNCIA,predição do modelo em TREINAMENTO para a classe predita pelo modelo em INFERÊNCIA,label da classe predita pelo modelo em TREINAMENTO,model
388,eye_color,black,1,0.59731513,black,mac_hybrid_200_2048_1e-05
389,monk_scale,scale 5,5,0.046173394,scale 6,mac_hybrid_200_2048_1e-05
390,fitz_type,type iv,3,0.4095164,type v,mac_hybrid_200_2048_1e-05
391,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
392,age,adult,0,0.9996487,adult,mac_hybrid_200_2048_1e-05
393,hair_type,curly,1,0.033596247,wavy,mac_hybrid_200_2048_1e-05
394,hair_color,black,0,0.99796367,black,mac_hybrid_200_2048_1e-05
395,eye_color,black,1,0.6262299,black,mac_hybrid_200_2048_1e-05
396,monk_scale,scale 5,5,0.787308,scale 5,mac_hybrid_200_2048_1e-05
397,fitz_type,type iv,3,0.65754515,type iv,mac_hybrid_200_2048_1e-05
398,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
399,age,adult,0,0.9924705,adult,mac_hybrid_200_2048_1e-05
400,hair_type,curly,1,0.68885154,curly,mac_hybrid_200_2048_1e-05
401,hair_color,black,0,0.9985879,black,mac_hybrid_200_2048_1e-05
402,eye_color,black,1,0.9629542,black,mac_hybrid_200_2048_1e-05
403,monk_scale,scale 5,5,0.051411845,scale 6,mac_hybrid_200_2048_1e-05
404,fitz_type,type iv,3,0.9636191,type iv,mac_hybrid_200_2048_1e-05
405,male,1,1,0.9999995,1,mac_hybrid_200_2048_1e-05
406,age,adult,0,0.9986129,adult,mac_hybrid_200_2048_1e-05
407,hair_type,curly,1,0.5210001,curly,mac_hybrid_200_2048_1e-05
408,hair_color,black,0,0.99847275,black,mac_hybrid_200_2048_1e-05
409,eye_color,black,1,0.80298537,black,mac_hybrid_200_2048_1e-05
410,monk_scale,scale 5,5,0.09761378,scale 7,mac_hybrid_200_2048_1e-05
411,fitz_type,type iv,3,0.9509357,type iv,mac_hybrid_200_2048_1e-05
412,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
413,age,adult,0,0.9968368,adult,mac_hybrid_200_2048_1e-05
414,hair_type,curly,1,0.104532786,wavy,mac_hybrid_200_2048_1e-05
415,hair_color,black,0,0.9988996,black,mac_hybrid_200_2048_1e-05
416,eye_color,black,1,0.90405834,black,mac_hybrid_200_2048_1e-05
417,monk_scale,scale 5,5,0.44980785,scale 5,mac_hybrid_200_2048_1e-05
418,fitz_type,type iv,3,0.6385177,type iv,mac_hybrid_200_2048_1e-05
419,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
